Year,Sector,Industry,Value
2005,,,44819
2005,"Agriculture, Fishing and Forestry",,10054
2005,Industry,,3149
2005,Services,,28281
2005,Plus Taxes less Subsidies on Products,,5271
2005,Less imputed Bank Service Charge,,1986
2005,,Crop Production,7901
2005,,Animal Production,1011
2005,,Forestry,755
2005,,Fishing,387
2005,,Mining and Quarrying,
2005,,Manufacturing,1304
2005,,Electricity and Water Supply,893
2005,,Construction,952
2005,,"Wholesale, Retail Trade, repair of Motor vehicles",706
2005,,Other Wholesale Trade,1883
2005,,Retail Trade,3696
2005,,Transport,3022
2005,,Accommodation and Food Services,1916
2005,,Information and Communication,1710
2005,,Finance and Insurance,3936
2005,,Real Estate,3526
2005,,"Professional, Scientific, Technical, Admin/Services",1234
2005,,Government Services,5723
2005,,"Education, Health, Recreation, and Other Services",929
2006,,,48611
2006,"Agriculture, Fishing and Forestry",,10201
2006,Industry,,3935
2006,Services,,30846
2006,Plus Taxes less Subsidies on Products,,5742
2006,Less imputed Bank Service Charge,,2113
2006,,Crop Production,8180
2006,,Animal Production,1073
2006,,Forestry,548
2006,,Fishing,399
2006,,Mining and Quarrying,10
2006,,Manufacturing,1756
2006,,Electricity and Water Supply,917
2006,,Construction,1252
2006,,"Wholesale, Retail Trade, repair of Motor vehicles",735
2006,,Other Wholesale Trade,2056
2006,,Retail Trade,5095
2006,,Transport,3009
2006,,Accommodation and Food Services,1986
2006,,Information and Communication,1760
2006,,Finance and Insurance,4214
2006,,Real Estate,3611
2006,,"Professional, Scientific, Technical, Admin/Services",1306
2006,,Government Services,5776
2006,,"Education, Health, Recreation, and Other Services",1300
2007,,,50009
2007,"Agriculture, Fishing and Forestry",,10558
2007,Industry,,3537
2007,Services,,31090
2007,Plus Taxes less Subsidies on Products,,7070
2007,Less imputed Bank Service Charge,,2245
2007,,Crop Production,8432
2007,,Animal Production,1129
2007,,Forestry,584
2007,,Fishing,413
2007,,Mining and Quarrying,125
2007,,Manufacturing,1092
2007,,Electricity and Water Supply,978
2007,,Construction,1341
2007,,"Wholesale, Retail Trade, repair of Motor vehicles",734
2007,,Other Wholesale Trade,2016
2007,,Retail Trade,5303
2007,,Transport,2264
2007,,Accommodation and Food Services,2195
2007,,Information and Communication,2150
2007,,Finance and Insurance,4128
2007,,Real Estate,3700
2007,,"Professional, Scientific, Technical, Admin/Services",1383
2007,,Government Services,6054
2007,,"Education, Health, Recreation, and Other Services",1163
2008,,,52810
2008,"Agriculture, Fishing and Forestry",,10465
2008,Industry,,4509
2008,Services,,32564
2008,Plus Taxes less Subsidies on Products,,7705
2008,Less imputed Bank Service Charge,,2434
2008,,Crop Production,8613
2008,,Animal Production,804
2008,,Forestry,622
2008,,Fishing,427
2008,,Mining and Quarrying,22
2008,,Manufacturing,1044
2008,,Electricity and Water Supply,1116
2008,,Construction,2327
2008,,"Wholesale, Retail Trade, repair of Motor vehicles",773
2008,,Other Wholesale Trade,1698
2008,,Retail Trade,5683
2008,,Transport,1480
2008,,Accommodation and Food Services,2427
