Year,Country,Value
2012,,-27845
2013,,-30435
2014,,-29128
2015,,-39513
2016,,-44383
2017,,-34265
2018,,-36136
2019,,-34440
2020,,-28396
2012,Australia,-7838
2013,Australia,-7482
2014,Australia,-7874
2015,Australia,-8361
2016,Australia,-8904
2017,Australia,-8105
2018,Australia,-8443
2019,Australia,-7186
2020,Australia,-6449
2012,China,-2163
2013,China,-2326
2014,China,-2539
2015,China,-4813
2016,China,-5656
2017,China,-5267
2018,China,-4012
2019,China,-4079
2020,China,-3261
2012,Fiji,-1856
2013,Fiji,-2375
2014,Fiji,-2609
2015,Fiji,-3511
2016,Fiji,-4520
2017,Fiji,-3751
2018,Fiji,-2713
2019,Fiji,-2541
2020,Fiji,-2784
2012,France,-773
2013,France,-1235
2014,France,-1172
2015,France,-978
2016,France,-2128
2017,France,-1025
2018,France,-920
2019,France,-709
2020,France,-763
2012,Hong Kong,-269
2013,Hong Kong,-230
2014,Hong Kong,-75
2015,Hong Kong,-762
2016,Hong Kong,-914
2017,Hong Kong,-1229
2018,Hong Kong,-1054
2019,Hong Kong,-974
2020,Hong Kong,-914
2012,India,-329
2013,India,-256
2014,India,-216
2015,India,-323
2016,India,-249
2017,India,-302
2018,India,-315
2019,India,-299
2020,India,-264
2012,Indonesia,-322
2013,Indonesia,-366
2014,Indonesia,-405
2015,Indonesia,-382
2016,Indonesia,-427
2017,Indonesia,-497
2018,Indonesia,-452
2019,Indonesia,-609
2020,Indonesia,-492
2012,Japan,-685
2013,Japan,-1122
2014,Japan,-807
2015,Japan,-1932
2016,Japan,-2815
2017,Japan,-1911
2018,Japan,-2722
2019,Japan,-2344
2020,Japan,-1457
2012,Republic of Korea,-467
2013,Republic of Korea,-712
2014,Republic of Korea,-588
2015,Republic of Korea,-707
2016,Republic of Korea,-931
2017,Republic of Korea,-776
2018,Republic of Korea,-638
2019,Republic of Korea,-598
2020,Republic of Korea,-555
2012,Malaysia,225
2013,Malaysia,12
2014,Malaysia,129
2015,Malaysia,-42
2016,Malaysia,370
2017,Malaysia,534
2018,Malaysia,254
2019,Malaysia,80
2020,Malaysia,-137
2012,Netherlands,-129
2013,Netherlands,-129
2014,Netherlands,-63
2015,Netherlands,-44
2016,Netherlands,-4649
2017,Netherlands,-86
2018,Netherlands,-59
2019,Netherlands,-64
2020,Netherlands,-52
2012,New Caledonia,-329
2013,New Caledonia,7
2014,New Caledonia,-130
2015,New Caledonia,-635
2016,New Caledonia,-244
2017,New Caledonia,-198
2018,New Caledonia,-278
2019,New Caledonia,80
2020,New Caledonia,202
2012,New Zealand,-3646
2013,New Zealand,-3652
2014,New Zealand,-3475
2015,New Zealand,-4685
2016,New Zealand,-4937
2017,New Zealand,-3913
2018,New Zealand,-3814
2019,New Zealand,-3638
2020,New Zealand,-3790
2012,Papua New Guinea,47
2013,Papua New Guinea,5
2014,Papua New Guinea,-55
2015,Papua New Guinea,-25
2016,Papua New Guinea,13
2017,Papua New Guinea,131
2018,Papua New Guinea,-92
2019,Papua New Guinea,-168
2020,Papua New Guinea,-250
2012,Philippines,457
2013,Philippines,-76
2014,Philippines,1138
2015,Philippines,584
2016,Philippines,
2017,Philippines,1637
2018,Philippines,104
2019,Philippines,154
2020,Philippines,202
2012,Singapore,-8110
2013,Singapore,-8356
2014,Singapore,-8995
2015,Singapore,-7190
2016,Singapore,-5349
2017,Singapore,-7277
2018,Singapore,-9185
2019,Singapore,-9781
2020,Singapore,-6279
2012,Solomon Islands,-9
2013,Solomon Islands,-119
2014,Solomon Islands,48
2015,Solomon Islands,-55
2016,Solomon Islands,-12
2017,Solomon Islands,-147
2018,Solomon Islands,-210
2019,Solomon Islands,-178
2020,Solomon Islands,-192
2012,Thailand,-961
2013,Thailand,-1181
2014,Thailand,-994
2015,Thailand,-4898
2016,Thailand,-1380
2017,Thailand,-1657
2018,Thailand,-1563
2019,Thailand,-1353
2020,Thailand,-1183
2012,United Kingdom,-89
2013,United Kingdom,-71
2014,United Kingdom,-77
2015,United Kingdom,-120
2016,United Kingdom,-90
2017,United Kingdom,-131
2018,United Kingdom,-23
2019,United Kingdom,-35
2020,United Kingdom,-29
2012,USA,-599
2013,USA,-771
2014,USA,-369
2015,USA,-634
2016,USA,-1562
2017,USA,-295
2018,USA,-1
2019,USA,-197
2020,USA,50
