Year,GeoCode,Area Council,Value
2020,,,87054
2016,,,73435
2020,VU05002,Port Vila,14420
2020,VU02001,Luganville,5214
2020,VU01055,Torres,410
2020,VU01066,Ureparapara,141
2020,VU01063,Motalava,462
2020,VU01054,Vanua Lava,815
2020,VU01064,Mota,179
2020,VU01053,Gaua,763
2020,VU01065,Merelava,293
2020,VU02044,North West Santo,467
2020,VU02047,North Santo,1717
2020,VU02048,West Santo,882
2020,VU02045,South Santo,2678
2020,VU02056,East Santo,1750
2020,VU02046,South East Santo,2158
2020,VU02061,Canal - Fanafo,1445
2020,VU02043,West Malo,722
2020,VU02042,East Malo,631
2020,VU03052,West Ambae,1083
2020,VU03050,North Ambae,864
2020,VU03051,East Ambae,675
2020,VU03049,South Ambae,446
2020,VU03014,North Maewo,829
2020,VU03015,South Maewo,583
2020,VU03017,North Pentecost,2056
2020,VU03060,Central Pentecost 1874
2020,VU03018,Central Pentecost 21193
2020,VU03016,South Pentecost,1155
2020,VU04006,North West Malekula,1955
2020,VU04007,North East Malekula,2541
2020,VU04008,Central Malekula,2142
2020,VU04059,South West Malekula,932
2020,VU04009,South East Malekula,1612
2020,VU04058,South Malekula,1361
2020,VU04011,North Ambrym,886
2020,VU04010,West Ambrym,760
2020,VU04012,South East Ambrym,460
2020,VU04013,Paama,386
2020,VU05029,Vermali,739
2020,VU05028,Vermaul,420
2020,VU05030,Varisu,579
2020,VU05027,South Epi,543
2020,VU05031,North Tongoa,559
2020,VU05032,Tongariki,310
2020,VU05033,Makimae,349
2020,VU05036,Nguna,620
2020,VU05034,Emau,292
2020,VU05041,Malorua,964
2020,VU05035,North Efate,1054
2020,VU05057,Mele,1700
2020,VU05039,Ifira,297
2020,VU05038,Pango,477
2020,VU05040,Erakor,3377
2020,VU05003,Eratap,2183
2020,VU05037,Eton,1103
2020,VU06019,North Erromango,673
2020,VU06020,South Erromango,196
2020,VU06005,Aniwa,205
2020,VU06026,North Tanna,1301
2020,VU06023,West Tanna,3784
2020,VU06062,Middle Bush Tanna,2412
2020,VU06023,South West Tanna,1331
2020,VU06023,Whitesands,2399
2020,VU06022,South Tanna,590
2020,VU06004,Futuna,250
2020,VU06021,Aneityum,409
2016,VU05002,Port Vila,14206
2016,VU02001,Luganville,4649
2016,VU01055,Torres,279
2016,VU01066,Ureparapara,141
2016,VU01063,Motalava,452
2016,VU01054,Vanua Lava,889
2016,VU01064,Mota,180
2016,VU01053,Gaua,634
2016,VU01065,Merelava,190
2016,VU02044,North West Santo,331
2016,VU02047,North Santo,1179
2016,VU02048,West Santo,598
2016,VU02045,South Santo,2078
2016,VU02056,East Santo,1238
2016,VU02046,South East Santo,1495
2016,VU02061,Canal - Fanafo,1223
2016,VU02043,West Malo,577
2016,VU02042,East Malo,495
2016,VU03052,West Ambae,1191
2016,VU03050,North Ambae,960
2016,VU03051,East Ambae,485
2016,VU03049,South Ambae,461
2016,VU03014,North Maewo,679
2016,VU03015,South Maewo,327
2016,VU03017,North Pentecost,1806
2016,VU03060,Central Pentecost 1718
2016,VU03018,Central Pentecost 2875
2016,VU03016,South Pentecost,1136
2016,VU04006,North West Malekula,1841
2016,VU04007,North East Malekula,2133
2016,VU04008,Central Malekula,1682
2016,VU04059,South West Malekula,899
2016,VU04009,South East Malekula,1315
2016,VU04058,South Malekula,906
2016,VU04011,North Ambrym,852
2016,VU04010,West Ambrym,823
2016,VU04012South East Ambrym,409
2016,VU04013,Paama,498
2016,VU05029,Vermali,543
2016,VU05028,Vermaul,367
2016,VU05030,Varisu,352
2016,VU05027,South Epi,326
2016,VU05031,North Tongoa,479
2016,VU05032,Tongariki,256
2016,VU05033,Makimae,350
2016,VU05036,Nguna,510
2016,VU05034,Emau,247
2016,VU05041,Malorua,710
2016,VU05035,North Efate,865
2016,VU05057,Mele,1114
2016,VU05039,Ifira,346
2016,VU05038,Pango,668
2016,VU05040,Erakor,2223
2016,VU05003,Eratap,1629
2016,VU05037,Eton,845
2016,VU06019,North Erromango,574
2016,VU06020,South Erromango,185
2016,VU06005,Aniwa,105
2016,VU06026,North Tanna,1270
2016,VU06023,West Tanna,2406
2016,VU06062,Middle Bush Tanna,2000
2016,VU06023,South West Tanna,1253
2016,VU06023,Whitesands,1936
2016,VU06022,South Tanna,363
2016,VU06004,Futuna,282
2016,VU06021,Aneityum,401
