IDENT,SchoolName,SchoolRegistered,AuthorizedLevel,Administration,longitude,latitude,TotalEnrolment
MA069,Fanla,Fanla,Years 1 - 6,Malampa PEB,168.123286,-16.136503,59
MA070,Fongteng SDA,Fonteng,Years 1 - 6,SDA,168.16987,-16.111063,46
MA073,Magam,Magam,Years 1 - 6,Malampa PEB,168.141435,-16.104628,116
MA075,Megamone,Megamone,Years 1 - 6,Malampa PEB,168.185113,-16.140266,51
MA076,Olal (Topol) JSS,Olal (Topol),Years 7 - 10,Malampa PEB,168.149841,-16.119566,64
MA079,Topol,Topol,Years 1 - 6,Catholic,168.142057,-16.116752,159
MA081,Bulemap,Bulemap,Years 1 - 6,Malampa PEB,167.979176,-16.288051,54
MA084,Lolibulo,Lolibulo,Years 1 - 6,Malampa PEB,167.935115,-16.247389,52
MA093,Mbossung,Mbossung,Years 1 - 6,Malampa PEB,168.284323,-16.342567,100
MA094,Roromai,Roromai,Years 1 - 6,Malampa PEB,168.268958,-16.305303,57
MA096,Olal,Olal,Years 1 - 6,Catholic,168.153765,-16.104804,0
MA098,Paamal,Paamal,Years 1 - 6,Catholic,168.298207,-16.32805,31
MA092,Leleut,Leleut,Years 1 - 6,Malampa PEB,168.245822,-16.274734,58
MA071,Linbul,Linbul,Years 1 - 6,SDA,168.130028,-16.119456,24
MA077,Ranon,Ranon,Years 1 - 6,Malampa PEB,168.115651,-16.147862,110
MA078,Ranon Secondary,Ranon,Years 7 - 10,Malampa PEB,168.115991,-16.147639,93
MA082,Craig Cove,Craig Cove,Years 1 - 6,Catholic,167.92405,-16.254357,36
MA091,Wuro,Wuro,Years 1 - 6,Malampa PEB,167.921024,-16.264838,106
MA080,Baiap,Baiap,Years 1 - 6,SDA,167.963203,-16.287629,15
MA089,Sessivi,Sessivi,Years 1 - 6,Catholic,167.984374,-16.306889,116
MA090,Sessivi Secondary,Sessivi,Years 7 - 10,Catholic,167.984297,-16.306882,99
MA088,Sanesup SDA,Sanesup,Years 1 - 6,SDA,168.012299,-16.324465,5
MA086,Port Vato English,Port Vato,Years 1 - 6,Malampa PEB,168.040433,-16.333658,52
MA087,Port Vato French,Port Vato,Years 1 - 6,Malampa PEB,168.041235,-16.333782,86
MA083,Lalinda,Lalinda,Years 1 - 6,SDA,168.056783,-16.34063,32
MA085,Maranatha,Maranatha,Years 1 - 6,SDA,168.125451,-16.365062,41
MA097,Maranatha JSS,Maranatha,Years 7 - 10,SDA,168.127548,-16.366296,0
MA095,Senai,Senai,Years 1 - 8,Malampa PEB,168.26641,-16.35408,166
MA095,Vutekai,Vutekai,Years 1 - 6,Malampa PEB,168.22,-16.5015,28
MA096,Lehili,Lehili,Years 1 - 6,Malampa PEB,168.216,-16.4823,45
MA097,Liro,Liro,Years 1 - 6,Malampa PEB,168.226,-16.4495,75
MA098,Vaum Secondary,Vaum,Years 7 - 10,Malampa PEB,168.226,-16.4495,125
MA099,Luvil,Luvil,Years 1 - 6,Malampa PEB,168.252,-16.4645,59
MA100,Selusa,Selusa,Years 1 - 6,Malampa PEB,168.219,-16.4666,42
MA101,Vauleli,Vauleli,Years 1 - 6,Malampa PEB,168.213,-16.4969,40
MA068,Dixon Reef,Dixon,Years 1 - 6,Malampa PEB,167.379,-16.3488,43
MA067,Laindua,Laindua,Years 1 - 6,Malampa PEB,167.43,-16.4457,176
MA066,South West Bay Secondary,South West Bay,Years 7 - 10,Malampa PEB,167.447,-16.4802,161
MA065,South West Bay,South West Bay,Years 1 - 6,Malampa PEB,167.446,-16.4804,111
MA064,Baie Caroline,Baie Caroline,Years 1 - 6,Malampa PEB,167.461,-16.5633,88
MA063,Melworbank,Melworbank,Years 1 - 6,Malampa PEB,167.512,-16.5669,62
MA062,Benbon,Benbon,Years 1 - 6,Malampa PEB,167.566,-16.5476,116
MA059,Lowoi,Luwoi,Years 1 - 6,Malampa PEB,167.652,-16.5172,98
MA058,Kalwai,Farun (Kalwai),Years 1 - 6,Malampa PEB,167.637,-16.5009,92
MA056,Sangalai,Sangalai,Years 1 - 6,Malampa PEB,167.83,-16.5284,219
MA055,Namaru,Namaru,Years 1 - 6,Malampa PEB,167.781,-16.5187,89
MA054,College de Lamap,Lamap,Years 1 - 6,Catholic,167.809,-16.4238,83
MA053,St Pierre Channel,St Pierre Chanel (Lamap),Years 1 - 6,Catholic,167.809,-16.4248,220
MA052,Kamai,Kamai,Years 1 - 6,Malampa PEB,167.788,-16.3969,153
MA051,Sanesup,Sanesup,Years 1 - 6,Malampa PEB,167.766,-16.3497,100
MA049,Alua,Aulua,Years 1 - 6,Malampa PEB,167.721,-16.3278,215
MA048,Tisman,Tisman,Years 1 - 6,Malampa PEB,167.669,-16.2783,216
MA047,Neremb,Neramb,Years 1 - 6,Malampa PEB,167.603,-16.2257,189
MA046,Lycee de Rensarie,Rensarie,Years 7 - 12,Malampa PEB,167.565,-16.2115,79
MA045,Rensarie College,Rensarie,Years 7 - 12,Malampa PEB,167.565,-16.2116,229
MA044,Rensarie French (Tembibi),Rensarie (Tembibi),Years 1 - 6,Malampa PEB,167.569,-16.2096,79
MA043,Rensarie English (Tembibi),Rensarie (Tembibi),Years 1 - 6,Malampa PEB,167.569,-16.2097,229
MA041,Jehovah Nissi,Jehovah Nissi,Years 1 - 6,AOG,167.384,-16.2316,12
MA040,Vinmavis,Vinmavis,Years 1 - 6,Malampa PEB,167.385,-16.2301,35
MA039,Faralo,Faralao,Years 1 - 6,Malampa PEB,167.531,-16.1908,28
MA038,Lingarak,Lingarak,Years 1 - 6,Malampa PEB,167.474,-16.1752,122
MA037,Lambubu,Lambubu,Years 1 - 6,Malampa PEB,167.398,-16.1663,172
MA036,Lakatoro Secondary,Lakatoro,Years 7 - 10,Malampa PEB,167.419,-16.1063,162
MA035,Lakatoro,Lakatoro,Years 1 - 6,Malampa PEB,167.419,-16.1063,156
MA034,Uripiv,Uripiv,Years 1 - 6,Malampa PEB,167.448,-16.0737,75
MA033,Tautu,Tautu,Years 1 - 6,Malampa PEB,167.414,-16.0748,171
MA032,Norsup Secondary,Norsup,Years 7 - 12,Malampa PEB,167.401,-16.0652,229
MA031,Norsup,Norsup,Years 1 - 6,Malampa PEB,167.401,-16.0657,150
MA030,Mae,Ste. Therese de Mae,Years 1 - 6,Catholic,167.368,-16.0577,94
MA029,Pikayer,Pikayer,Years 1 - 6,Catholic,167.216,-16.0571,27
MA028,Wiaru,Wiaru,Years 1 - 6,FELP,167.255,-16.0846,22
MA027,Unmet,Unmet,Years 1 - 6,Catholic,167.29,-16.1277,245
MA026,Brenwei,Brenwei,Years 1 - 8,Malampa PEB,167.282,-16.1395,230
MA025,Leviamp,Leviamp,Years 1 - 6,Malampa PEB,167.234,-16.1496,104
MA023,Wilak,Wilak,Years 1 - 6,Malampa PEB,167.168,-16.0923,12
MA022,Win SDA,Winn,Years 1 - 6,SDA,167.155,-16.0781,30
MA021,Rambek,Rambeck,Years 1 - 6,FELP,167.161,-16.0456,20
MA020,Pinapow,Pinapow,Years 1 - 6,Malampa PEB,167.176,-16.025,76
MA019,Benenaveth,Benenaveth,Years 1 - 6,FELP,167.177,-16.0198,25
MA018,Malua Bay,Malua Bay,Years 1 - 6,SDA,167.187,-15.9917,92
MA017,Metune,Metune,Years 1 - 6,FELP,167.219,-15.9916,46
MA016,Womul,Womul,Years 1 - 6,FELP,167.235,-15.975,39
MA015,Matanvat,Matanvath,Years 1 - 6,Malampa PEB,167.178,-15.9331,65
MA014,Wora,Wora,Years 1 - 6,Malampa PEB,167.254,-15.8886,42
MA011,Velow,Velow,Years 1 - 6,Malampa PEB,167.398,-16.019,84
MA010,Amelveth,Amelveth,Years 1 - 6,Malampa PEB,167.382,-16.0051,185
MA009,Walarano,Notre Dame de Walarano,Years 1 - 6,Catholic,167.375,-15.9901,314
MA008,Orap Secondary,Orap,Years 7 - 10,FELP,167.343,-15.9706,97
MA007,Orap,Orap,Years 1 - 6,FELP,167.345,-15.9701,97
MA006,Chenard Atchin,Chenard,Years 1 - 6,FELP,167.348,-15.9388,46
MA005,Topaen,Topaen,Years 1 - 6,Malampa PEB,167.339,-15.9423,40
MA003,Vao Secondary,Jean Vidil (Vao),Years 7 - 10,Catholic,167.306,-15.9153,132
MA002,Vao Ilot,Vao Ilot,Years 1 - 6,Catholic,167.308,-15.9011,262
LOUIS,St. Louis,St. Louis (Atchin),Years 1 - 6,Catholic,167.339,-15.9439,112
LONVA,Lonvat,South Malekula (Lonvat),Years 7 - 10,Malampa PEB,167.649,-16.5011,108
LERAW,Lerawo,Lerawo,Years 1 - 6,Malampa PEB,167.226,-15.8926,56
LEKAN,Lekan,Lekan,Years 1 - 6,Lekan,167.18,-16.0117,20
LALKO,Lalkoko,Lalkoko (Mae Sirbulbul),Years 1 - 6,Malampa PEB,167.377,-16.0448,94
GALIL,Galile,Galilee,Years 1 - 6,SDA,167.277,-15.9662,0
DAODO,Daodobo (Metetuwai),Daodobo,Years 1 - 6,Malampa PEB,167.534,-16.3865,38
DAOD1,Daodobo,Daodobo,Years 1 - 6,Malampa PEB,167.533,-16.3914,29
VENUR,Vanruru,Vanruru,Years 1 - 6,Malampa PEB,167.231,-16.1254,64
MA004,Lavasal,Lavasal,Years 1 - 6,SDA,167.327,-15.94,64
AMELV,Amelveth Secondary,Amelvet,Years 7 - 10,Malampa PEB,167.382,-16.0052,0
